"OverallQual","BedroomAbvGr","Fireplaces","FullBath","OpenPorchSF","BsmtFinSF1","LotFrontage","LotArea","HalfBath","WoodDeckSF","TotRmsAbvGrd","SalePrice","OverallCond","GrLivArea","houseAge","CentralAir_Y","BsmtQual_Fa","BsmtQual_Gd","BsmtQual_TA","HouseStyle_1Story","HouseStyle_2.5Story","HouseStyle_2Story","HeatingQC_Fa","HeatingQC_Gd","HeatingQC_TA","GarageType_Detchd","GarageType_noGarage","RoofMatl_notCompShg","PavedDrive_P","PavedDrive_Y","SaleType_WD","RoofStyle_notGable","Exterior1st_OtherSd","Exterior1st_VinylSd","ExterQual_TA","ExterCond_TA","Utilities_","Heating_GasW","Heating_Grav","Heating_OthW","Heating_Wall","LotConfig_CulDSac","LotConfig_FR2","LotConfig_Inside","LotShape_IR2","LotShape_IR3","LotShape_Reg","KitchenQual_Fa","KitchenQual_Gd","KitchenQual_TA","BsmtFinType1_BLQ","BsmtFinType1_GLQ","BsmtFinType1_Unf","BsmtCond_TA","Foundation_CBlock","Foundation_PConc","Electrical_SBrkr","BldgType_2fmCon","BldgType_Duplex","BldgType_Twnhs","Neighbor_Edwards","Neighbor_OldTown","sample_id"
7,3,0,2,61,706,8450,65,1,0,8,208500,5,1710,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
7,3,1,2,42,486,11250,68,1,0,6,223500,5,1786,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2
8,3,1,2,159,0,9742,75,0,171,7,230000,5,1795,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,3
8,3,0,2,30,0,11049,85,0,0,7,179900,5,1234,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,4
5,3,0,1,0,280,9200,67.6827309236948,0,145,5,130250,6,938,33,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,5
7,3,0,2,70,0,11645,89,1,0,7,196500,5,1720,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,6
5,2,0,1,0,632,7200,60,0,196,4,124900,7,780,36,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,7
7,3,0,2,36,739,9375,67.6827309236948,1,576,8,219500,5,2034,12,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,8
7,3,0,2,29,1013,10665,72,0,144,7,226000,5,1479,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,9
4,3,0,1,0,588,8070,60,0,0,5,123600,5,990,13,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,10
6,3,0,2,162,648,9337,69,1,0,7,204750,5,1786,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,11
7,3,0,2,36,0,10402,94,0,0,6,198900,5,1226,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,12
7,4,1,2,184,984,9965,77,1,120,10,383970,5,2696,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,13
6,3,1,2,24,0,8461,65,1,0,8,163990,5,1456,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,14
7,3,0,2,24,1300,11645,78,0,160,7,260000,5,1734,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,15
7,3,0,2,29,679,10335,78,0,144,6,204000,5,1501,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,16
5,3,0,1,0,716,10356,120,1,0,5,122000,6,969,32,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,17
7,3,0,2,35,560,9017,68,0,0,6,192000,5,1431,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,18
5,3,0,1,0,390,7180,60,0,0,5,127000,7,864,36,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,19
6,1,1,1,0,662,4438,67.6827309236948,0,149,3,149000,5,848,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,20
6,3,0,1,36,378,10900,67.6827309236948,1,0,6,161750,7,1392,33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,21
7,3,0,2,98,946,8450,65,0,139,8,210000,5,1436,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,22
7,2,0,2,33,0,8990,73,0,351,5,204900,5,1498,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,23
7,3,0,2,105,24,8773,65,0,132,6,185500,5,1414,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,24
7,3,0,2,68,0,11317,72,1,144,8,180000,5,1668,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,25
7,3,1,2,110,1334,8814,68,1,123,8,220000,5,1604,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,26
7,3,1,2,96,361,12435,80,1,0,7,231500,5,1792,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,27
8,3,1,2,51,0,15611,120,1,0,8,233230,5,1919,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,28
5,3,0,1,0,894,9800,70,0,256,5,149900,7,894,34,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,29
8,3,0,2,0,1464,10386,80,0,168,8,305900,5,2000,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,30
7,3,0,2,74,810,9135,70,0,192,7,214000,5,1536,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,31
7,4,1,2,48,0,8200,65,1,100,8,219500,5,1928,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,32
7,3,0,2,25,0,9382,93,0,120,6,191000,5,1479,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,33
5,2,0,1,0,777,7200,60,0,215,6,123000,5,894,37,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,34
7,3,1,2,61,385,10667,43,1,158,6,212000,6,1661,13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,35
7,4,1,2,133,642,8750,70,1,144,8,210000,5,1908,14,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,36
5,3,0,2,0,616,8430,60,0,0,5,124000,5,1040,31,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,37
6,3,1,2,39,994,13125,75,0,140,7,208900,5,1493,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,38
6,3,0,2,36,706,9531,67.6827309236948,1,0,7,211000,5,1796,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,39
7,3,0,2,155,0,8924,57,1,120,8,188000,5,1724,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,40
8,3,1,2,0,1358,11423,67.6827309236948,0,180,6,272000,5,1601,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,41
6,1,0,1,0,685,4435,67.6827309236948,0,140,4,140000,5,848,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,42
7,3,1,2,36,922,12803,88,0,192,6,221000,5,1494,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,43
5,3,0,1,0,732,12464,82,0,168,6,152000,5,1040,13,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,44
9,3,2,2,142,904,11050,67.6827309236948,1,253,8,313000,5,2153,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,45
8,3,1,2,122,990,11885,67.6827309236948,1,160,7,261500,5,1872,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,46
7,2,1,2,120,0,8750,70,1,0,7,191000,5,1716,13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,47
6,1,1,1,0,697,4426,67.6827309236948,0,149,3,141000,5,848,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,48
7,3,0,2,35,712,8400,70,0,0,7,213000,5,1484,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,49
5,3,1,1,0,523,9920,69,1,0,5,128500,6,971,37,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,50
6,1,0,1,0,662,4426,67.6827309236948,0,160,3,143000,5,848,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,51
7,2,0,2,0,724,7314,64,0,132,6,194500,5,1232,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,52
7,3,1,2,84,252,11404,75,1,192,8,222500,5,2031,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,53
7,3,0,2,56,0,9313,65,1,187,7,190000,5,1728,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,54
6,3,0,2,27,1200,9236,79,0,168,6,217000,5,1494,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,55
8,3,0,2,105,20,10769,68,1,144,7,212000,5,1768,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,56
7,3,1,2,33,24,9100,70,0,120,8,216837,5,1836,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,57
7,3,0,2,59,20,11210,86,0,144,7,221500,5,1614,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,58
7,3,0,2,33,0,16285,67,0,0,6,187100,5,1430,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,59
7,3,1,2,18,648,8199,63,1,36,7,189000,5,1456,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,60
6,1,1,1,0,662,4438,67.6827309236948,0,140,4,144500,5,848,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,61
7,3,0,2,34,0,12137,48,0,0,6,224900,5,1661,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,62
7,3,0,2,45,0,7226,72,1,0,6,183000,5,1640,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,63
5,3,0,1,0,0,9525,75,1,278,6,144000,6,1099,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,64
5,3,1,1,0,460,15523,36,0,0,5,133500,6,864,37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,65
6,3,0,2,77,505,8750,70,1,0,7,200500,5,1682,12,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,66
5,3,0,1,0,646,7000,67.6827309236948,0,0,6,136500,8,864,31,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,67
8,3,1,2,151,0,11838,67.6827309236948,0,202,7,236500,5,1788,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,68
7,3,0,2,36,20,8487,63,0,192,6,190000,5,1500,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,69
7,3,1,2,96,0,14006,65,1,144,7,192500,5,1776,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,70
7,3,0,2,39,699,8450,65,0,0,6,185000,5,1337,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,71
9,2,0,2,136,0,11923,122,0,288,7,239000,5,1800,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,72
8,4,1,2,0,0,11250,67.6827309236948,1,0,9,255900,5,2290,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,73
6,3,0,2,35,0,8846,68,1,0,6,173900,5,1500,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,74
7,2,0,2,61,686,6762,64,0,105,6,206000,5,1208,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,75
7,3,1,2,66,690,11883,73,0,115,6,203000,5,1504,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,76
7,2,0,2,54,684,7406,64,0,105,6,194000,5,1220,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,77
5,3,0,1,0,138,7700,70,0,96,5,112500,5,882,35,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,78
7,3,0,2,136,986,8125,67.6827309236948,0,0,6,230000,5,1654,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,79
8,3,1,2,45,0,9240,67.6827309236948,1,0,7,287000,5,2263,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,80
5,3,0,1,0,686,9245,57,0,0,5,145000,5,990,14,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,81
7,3,1,2,20,0,11175,103,0,0,6,200141,5,1316,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,82
8,3,1,2,60,932,11367,90,1,199,7,255000,5,1989,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,83
7,2,0,2,93,0,8556,74,0,140,5,194000,5,1240,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,84
6,1,1,1,0,662,4435,37,0,140,3,155900,5,848,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,85
5,3,0,1,64,495,8775,65,0,0,5,126000,5,990,13,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,86
7,3,1,2,39,0,8749,70,0,192,6,192000,5,1459,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,87
